,track,artist,genre,user_id,label,date
1044,Isolation,Ann Wilson,rock,22,0,2021-04-21 13:43:04
1053,Hangman,Drugstore Fanatics,rock,22,0,2021-11-19 01:21:52
1072,Killemall,Menomena,rock,22,3,2018-09-23 19:31:52
1073,Into the Open,Heartless Bastards,rock,22,0,2021-12-03 13:08:50
1080,Murder,River String Lizards,rock,22,0,2019-03-22 13:36:49
1086,Empire of Blood,Black Funeral,black metal,22,1,2021-07-20 18:54:37
1088,Fumes,Heroin and Your Veins,rock,22,2,2021-11-13 04:11:23
1099,Maybe You've Been Brainwashed Too,New Radicals,rock,22,0,2020-01-17 22:57:18
1103,Crush,Gavin DeGraw,rock,22,3,2021-05-22 07:48:44
1115,God Only Knows,Joe Henry,rock,22,0,2018-10-25 01:42:52
1125,Poor Places,Wilco,rock,22,2,2018-07-05 14:21:38
1126,Killing You (Cemetery Stare),The October Country,rock,22,1,2020-11-17 07:48:13
1130,Freedom Road,Johnny Crash,rock,22,1,2019-05-13 16:33:36
1145,Payback (Live),Backyard Babies,rock,22,1,2020-03-26 13:09:30
1152,Bitter,Nine Days,rock,22,0,2018-01-29 10:14:39
1176,終の果て,志方あきこ,rock,22,2,2021-07-04 09:00:35
1192,Awake,Letters to Cleo,rock,22,0,2019-06-01 06:56:55
1201,Storm of Damnation,Bathory,black metal,22,0,2018-04-30 07:30:13
1206,Crimes of Passion,Rough Trade,rock,22,0,2019-06-02 19:36:11
1213,Withered Hope,They Might Be Giants,rock,22,1,2018-11-15 11:11:20
1223,Bigger Than My Body,John Mayer,rock,22,3,2018-06-22 15:14:11
1225,Sleep Forever,Cheap Trick,rock,22,0,2021-10-09 21:06:22
1231,Guitar,Cake,rock,22,2,2020-08-07 20:52:14
1238,"The world can chanche, so us",Negative,rock,22,1,2020-10-06 21:32:34
1241,Decatur St.,The Twilight Singers,rock,22,2,2018-09-29 03:26:09
1244,Venus In Furs,The Velvet Underground & Nico,rock,22,2,2018-01-15 02:48:54
1258,Life For Death Will Burn/Born...,Minuto Salvaje,rock,22,0,2019-11-03 10:57:45
1271,White Sparrows,Billy Talent,rock,22,1,2018-02-18 15:17:30
1279,Dave the Butcher,Tom Waits,rock,22,0,2019-12-22 14:26:47
1291,This Grievous Mistake,Mike Keneally,rock,22,0,2020-03-15 05:13:43
1305,Forever Yellow Skies,The Cranberries,rock,22,3,2018-01-10 01:41:52
1310,The Kung Fu Killer,Flo & Eddie,rock,22,0,2021-08-13 22:11:57
1313,Biker,The Pretenders,rock,22,2,2019-04-07 22:04:04
1314,Broken,Antigone Rising,rock,22,2,2018-08-20 18:22:08
1329,An Ornament,Negative,rock,22,1,2021-07-29 11:48:55
1331,Our Last Night,Better Than Ezra,rock,22,2,2019-01-21 04:03:37
1358,"Die, All Right",The Hives,rock,22,3,2019-12-20 16:38:01
1375,Fudge Tunnel / Spanish Fly,Fudge Tunnel,rock,22,0,2020-08-16 17:49:18
1382,My My/Hey Hey (Out Of The Blue),Negative,rock,22,1,2021-03-26 06:37:42
1403,Long Lost Brother,Over the Rhine,rock,22,2,2019-02-06 18:48:35
1430,Wait,Cloud City Rollers,rock,22,2,2020-06-09 10:05:46
1434,Snakecharmer,Rage Against the Machine,rock,22,1,2021-09-12 02:17:08
1443,Novena Without Faith,...And You Will Know Us by the Trail of Dead,rock,22,3,2019-12-30 12:55:26
1454,Laissez-Moi Tranquille,Warren Zevon,rock,22,0,2018-10-31 21:58:41
1455,Black Velvet,Alannah Myles,rock,22,3,2018-05-17 20:56:50
1458,Broken Like an Angel,Crossfade,rock,22,1,2019-02-27 08:23:11
1461,The Last of Me,Bree Sharp,rock,22,3,2020-05-05 13:02:27
1463,"Full Moon, Dirty Hearts",INXS,rock,22,2,2020-11-22 04:10:32
1466,Don't Wait For Tom,Over the Rhine,rock,22,3,2020-07-30 04:39:25
1480,Kanga Roo,Jeff Buckley,rock,22,2,2019-08-05 14:54:09
1483,"Don't say ""lazy""","桜高軽音部 (豊崎愛生, 日笠陽子, 佐藤聡美, 寿美菜子)",rock,22,2,2022-01-01 01:32:02
1486,Hymn I - Of wolf and fear,Ulver,black metal,22,3,2021-07-21 07:48:27
1487,"So Long, Sisters",Disco Ensemble,rock,22,3,2020-03-01 18:50:35
1489,Sharks Can't Sleep,Tracy Bonham,rock,22,3,2020-05-06 09:47:51
1505,Pantala Naga Pampa,Dave Matthews Band,rock,22,2,2018-11-04 05:45:59
1530,Do U Dirty,Kehlani,black metal,22,1,2019-09-08 04:31:59
1545,Winterlight,The Autumn Defense,rock,22,2,2018-11-20 18:13:08
1546,Who Loves The Sun,The Velvet Underground,rock,22,3,2020-09-17 21:24:40
1551,What It's Like To Be Hated,Mansun,rock,22,3,2020-05-27 12:09:33
1554,Dim Ominous I satanus,Slaughterhaus,black metal,22,0,2021-11-23 15:33:47
1568,The Christmas Guest,Johnny Cash,rock,22,2,2021-12-18 12:41:16
1584,Little Girl's Eyes,Lenny Kravitz,rock,22,3,2020-05-02 23:37:42
1595,Fear,Evans Blue,rock,22,2,2019-08-11 12:49:00
1604,Sigils Made of Flesh and Trees,Xasthur,black metal,22,2,2019-12-27 19:45:23
1645,Child Of Dust,Thrice,rock,22,3,2018-12-03 01:36:16
1668,Courtney,Nerf Herder,rock,22,3,2018-11-02 00:26:25
1672,When I Look to the Sky (live),Train,rock,22,2,2019-01-22 22:13:59
1673,Metal Contra As Nuvens,Legião Urbana,rock,22,2,2021-07-11 15:29:38
1714,Tostaky (Le Continent),Noir Désir,rock,22,2,2018-12-05 00:16:38
1766,Lo-Fi Animals,Tom Waits,rock,22,0,2021-06-03 05:46:24
1771,Moody's Mood For Love,Van Morrison,rock,22,0,2020-09-18 17:10:04
1802,"Seasick, Yet Still Docked",Morrissey,rock,22,0,2020-09-23 03:47:38
1819,I'm The Ocean,Neil Young,rock,22,3,2021-09-16 01:28:11
1829,There Ain't No Santa Claus on the Evenin' Stage,Captain Beefheart & His Magic Band,rock,22,0,2020-04-13 18:01:42
1831,Glad To Be Gay,Tom Robinson Band,rock,22,3,2019-08-08 12:08:42
1839,Through It All There's You,Robert Palmer,rock,22,3,2019-05-03 02:57:29
1851,Hurricane,Colton Brown,rock,22,2,2021-08-02 16:45:16
1862,"Bin ich nur glücklich, wenn es schmerzt",Böhse Onkelz,rock,22,0,2019-08-01 14:00:26
1873,Brighter Side,OPM,rock,22,0,2018-01-14 00:19:07
1894,Nightmare Is Over,Archive,rock,22,2,2021-07-24 18:52:18
1910,Danger! High Voltage,Electric Six,rock,22,3,2021-05-17 21:41:56
1926,Парикмахер,Александр Пушной,rock,22,3,2018-08-02 05:42:39
1928,dream6,Carole Pope,rock,22,0,2019-05-23 04:10:47
1972,Death of a Martian,Red Hot Chili Peppers,rock,22,0,2019-04-27 17:38:47
1974,With Lust And Murder For Our Drink,Judas Iscariot,black metal,22,0,2020-07-22 22:02:40
2017,Suitcase in My Hand,Ry Cooder,rock,22,3,2021-09-16 00:16:12
2029,Rapunzel,Dave Matthews Band,rock,22,2,2019-02-02 11:14:19
2031,Alien Blueprint,Rollins Band,rock,22,1,2021-08-23 10:32:38
2047,Supernaturally,Nick Cave and the Bad Seeds,rock,22,3,2020-12-01 11:45:00
2061,Big Dipper,Cracker,rock,22,0,2020-03-12 01:28:46
2090,Cokane in My Brain,Die Toten Hosen,rock,22,1,2018-05-02 22:27:28
2145,Howl,Black Rebel Motorcycle Club,rock,22,2,2021-04-21 00:14:18
2151,Call That Love,Boz Scaggs,rock,22,0,2020-01-14 12:00:59
2177,European Girl,Max Meets Lenny,rock,22,2,2018-12-07 06:06:44
2197,Remember,Heard,rock,22,3,2019-02-08 17:08:08
2198,All My Problems,Smile Empty Soul,rock,22,1,2019-08-11 20:00:43
2207,HAPPY HAPPY DOLL,Youjeen,rock,22,3,2018-11-24 11:07:09
2285,The Collection of Marie Claire,Daniel Lanois,rock,22,0,2018-08-09 13:22:03
2287,That's A Lie,Hey,rock,22,3,2018-09-03 22:52:39
2299,Handsome Boy,Saves the Day,rock,22,2,2020-03-09 06:07:48
2303,21st Century Crooners,Ghinzu,rock,22,3,2020-05-20 08:47:20
2306,Stagger Lee,Nick Cave and the Bad Seeds,rock,22,2,2018-05-25 10:09:08
2326,Anioł,Hey,rock,22,3,2021-03-24 19:08:25
2330,The Passenger,Michael Hutchence,rock,22,3,2020-05-09 06:10:39
2348,Welfare Problems,Randy,rock,22,1,2019-08-21 04:38:33
2372,Charcoal Days and Sterling Nights,The Ike Reilly Assassination,rock,22,2,2021-07-15 11:20:44
2375,Time/Confusion,Arthur Brown,rock,22,1,2021-05-21 14:50:45
2389,Ballad Of The Bangkok Novotel,Manic Street Preachers,rock,22,1,2020-01-29 17:12:31
2399,Lady So Divine,Shinedown,rock,22,3,2020-06-05 22:07:28
2403,Dark Moon (New Moon),HowManyDevils,rock,22,0,2021-02-12 03:04:08
2418,Valley of Sound,Heather Nova,rock,22,2,2021-10-14 10:22:33
2453,Mr. Spock,Nerf Herder,rock,22,3,2018-05-27 01:52:49
2469,Don't Come Around Here No More,Tom Petty,rock,22,2,2018-06-26 13:50:24
2471,alcohol,カヒミ・カリィ,rock,22,3,2018-08-01 00:51:40
2473,Obvious Song,Joe Jackson,rock,22,0,2018-09-04 09:23:24
2477,No Man's Land,Alice Cooper,rock,22,0,2019-04-07 04:13:01
2484,This Song,George Harrison,rock,22,2,2020-09-10 13:05:05
2489,Hand in Hand - Video Version,Beatsteaks,rock,22,3,2021-07-21 16:00:24
2491,Niteclub,Old 97's,rock,22,0,2022-01-09 05:35:13
2516,Knock Me Out,Child's Play,rock,22,1,2019-10-22 22:04:44
2521,Call Me,Throwing Muses,rock,22,0,2021-04-03 11:37:38
2537,Francesca,Richard Thompson,rock,22,3,2018-08-06 18:42:01
2540,Different,Robbie Williams,rock,22,3,2020-12-23 19:43:17
2543,Humankind,Grant-Lee Phillips,rock,22,2,2021-05-28 09:41:49
2557,Незачем,Татьяна Зыкина,rock,22,3,2019-12-19 06:28:33
2560,All The Voices,INXS,rock,22,2,2021-03-06 03:47:30
2569,Speak of the Devil,Chris Isaak,rock,22,3,2019-10-13 03:38:54
2573,Bob Is Not Your Uncle Anymore,Walter Becker,rock,22,3,2020-05-21 12:21:19
2589,in media,Deadman,rock,22,3,2020-08-18 16:59:57
2604,Inner Glow,Blue October,rock,22,3,2021-12-02 08:28:40
2654,Smoth Criminal,Alien Ant Farm,rock,22,3,2018-07-22 11:13:05
2671,California Sky,Unwritten Law,rock,22,2,2019-09-07 05:12:21
2705,Tsunami,Manic Street Preachers,rock,22,2,2019-05-14 11:55:26
2723,Sex and Candy,Marcy Playground,rock,22,2,2021-01-04 03:46:20
2729,A Reminder,Radiohead,rock,22,2,2021-02-22 23:56:30
2737,Black Dog On My Shoulder,Manic Street Preachers,rock,22,2,2018-10-05 23:16:41
2749,Не буду панком!,Джай Бату,rock,22,3,2019-04-19 06:17:44
2754,What You Are,Dave Matthews Band,rock,22,2,2020-05-08 06:15:43
2756,Got You Down,Paul Westerberg,rock,22,0,2019-05-02 08:57:28
2763,Heaven Tonight,Cheap Trick,rock,22,1,2019-03-05 05:09:10
2792,Experimental Film,They Might Be Giants,rock,22,3,2021-10-28 03:28:05
2795,State Of Emergency (Album Version),Papa Roach,rock,22,3,2018-02-16 11:21:23
2798,Poprocks and Coke,Green Day,rock,22,3,2020-09-19 09:51:38
2807,Boys and Girls,Bryan Ferry,rock,22,3,2020-02-25 01:48:33
2830,Just Because,Gaia Consort,rock,22,3,2018-02-23 22:19:03
2835,Between Bronze Walls,The Ruins of Beverast,black metal,22,0,2020-09-17 07:50:36
2843,Falling Down,Point of Existence,black metal,22,3,2021-10-12 03:09:49
2862,A Gift,Lou Reed,rock,22,0,2018-01-28 00:43:03
2865,Fever Few,Throwing Muses,rock,22,2,2021-09-24 09:07:12
2873,A Girl Like You,Edwyn Collins,rock,22,3,2018-06-24 11:26:45
2876,"No James, Not From Behind!",Melophobie,rock,22,3,2020-09-27 12:39:55
2877,Waiting,Chris Isaak,rock,22,2,2021-10-18 05:10:59
2879,Something To Believe In,Shawn Colvin,rock,22,0,2019-08-11 04:43:32
2894,The Coolest,Magicmad,rock,22,3,2020-11-12 10:47:00
2904,Stop Playing Guitar,The Promise Ring,rock,22,0,2020-06-22 13:25:35
2905,Heart Full of Holes,Mark Knopfler,rock,22,3,2018-04-20 04:40:18
2924,So Low,Self,rock,22,0,2018-01-03 15:19:31
2925,Just A Kid,Manic Street Preachers,rock,22,3,2020-04-26 13:33:21
2932,Lass die Musik an,Madsen,rock,22,3,2019-04-27 07:20:26
2933,Dance Beat wa Yoake made,荻野目洋子,rock,22,3,2020-05-24 04:02:00
2934,Top Of My Tongue,Mark Heard,rock,22,1,2020-05-26 15:57:40
3006,Twilight,Cut Copy,rock,22,3,2021-10-11 10:23:44
3014,Good Times Roll,The Cars,rock,22,3,2020-06-04 16:40:27
3036,House At Pooh Corner (Live),Loggins & Messina,rock,22,0,2019-04-30 20:28:39
3055,Sensurround (I),They Might Be Giants,rock,22,3,2019-06-27 16:21:17
3080,Cat's Got Nine,Salty Dog,rock,22,1,2020-10-13 17:44:00
3089,Made of Stone,Evanescence,rock,22,3,2018-03-25 12:59:44
3098,LOST CHILDREN,志方あきこ,rock,22,0,2018-03-01 14:59:03
3115,Because of You,Skunk Anansie,rock,22,3,2018-12-05 23:38:27
3128,Velvet,Manboy,rock,22,3,2018-06-15 13:34:09
3156,Crawl,Alkaline Trio,rock,22,0,2018-12-09 18:28:29
3166,Juniper,Noe Venable,rock,22,0,2020-09-09 02:58:07
3167,Time Bomb,Buckcherry,rock,22,1,2018-05-21 13:27:00
3184,Givin' Up,The Darkness,rock,22,3,2020-01-08 20:14:45
3193,That's All Lies,Jet,rock,22,3,2021-05-05 00:32:28
3199,Kama Sutra Time,Flo & Eddie,rock,22,0,2020-05-29 16:36:39
3212,Kill City,Hanoi Rocks,rock,22,1,2020-11-02 08:08:20
3221,The Great Corrupter (Of Youth),Beware Fashionable Women,rock,22,2,2019-12-29 06:56:13
3233,Nothing (Demo),Buckcherry,rock,22,1,2020-12-01 18:19:58
3237,The Spill,Roseland,rock,22,0,2019-04-30 21:17:54
3243,Intro/Sweet Jane/Rock'n'Roll,Lou Reed,rock,22,0,2021-04-06 06:04:26
3259,Rainbows and Pots Of Gold (Album Version),Stereophonics,rock,22,3,2019-08-12 23:43:05
3261,VW Keychain,The Saddest Girl Story,rock,22,2,2019-04-20 00:24:52
3267,I am Downright Amazed at What I Can Destroy with Just a Hammer,Atom and His Package,rock,22,1,2021-05-11 21:41:23
3280,Echodyne Harmonic,Sparta,rock,22,2,2019-04-09 19:13:45
3312,Sound of Love,Danko Jones,rock,22,3,2020-01-01 16:12:46
3314,Halloween,Ash,rock,22,0,2020-07-14 04:56:38
3315,Frame Of Mine,The October Country,rock,22,1,2020-08-28 18:41:59
3328,Shiver (Joe Whiley Lunchtime Social),Coldplay,rock,22,2,2018-07-26 19:21:39
3369,Wheels,Cake,rock,22,3,2018-06-08 00:10:49
3445,You Can Look (But You Better Not Touch),Bruce Springsteen,rock,22,3,2021-07-10 07:53:35
3449,Believe,Breaking Benjamin,rock,22,1,2018-08-28 13:47:21
3461,Anti-D,The Wombats,rock,22,2,2019-04-18 11:37:49
3471,Diss,Bulletboys,rock,22,1,2020-11-07 08:45:17
3525,Shadows in a Mirror,Chris Isaak,rock,22,0,2019-09-19 20:53:20
3555,Ich-AG,Rainald Grebe und die Kapelle der Versöhnung,rock,22,2,2019-10-17 00:33:09
3556,The World You Love,Jimmy Eat World,rock,22,3,2020-01-21 09:19:39
3560,11 A Punch Up At The Wedding,Radiohead,rock,22,3,2018-10-30 04:43:49
3565,Proudest Monkey,Dave Matthews Band,rock,22,2,2019-01-05 05:50:13
3576,Put It Out For Good,Amy Ray,rock,22,3,2019-03-07 10:26:27
3600,The Hip Dip,The Tubes,rock,22,0,2019-07-13 05:58:02
3627,Fever,The Hives,rock,22,3,2020-01-30 13:37:07
3634,12 Souls,Sigh,black metal,22,1,2019-08-30 16:48:11
3638,Europa,Globus,rock,22,3,2019-09-09 21:39:00
3656,Circle of Stone,Laura Powers,rock,22,2,2020-02-11 02:12:45
3677,#1 Crush,Garbage,rock,22,3,2019-08-28 15:56:13
3702,Armageddon's Raid,Belphegor,black metal,22,1,2020-01-20 18:02:06
3707,Alone,Buckcherry,rock,22,1,2018-11-24 02:20:41
3708,Lonely Boy,Black Lab,rock,22,2,2019-08-08 12:47:40
3711,Shipbuilding,Elvis Costello,rock,22,2,2019-01-30 02:44:31
3713,I Don't Wanna Miss a Thing,Aerosmith,rock,22,3,2021-05-24 03:30:52
3747,Daughter of the Night,Santana,rock,22,0,2020-07-16 11:34:53
3751,Zombie Eaters,Faith No More,rock,22,3,2021-09-21 00:13:46
3752,Starry Eyed Surprise,Tune Robbers,rock,22,3,2018-11-16 15:50:50
3757,Champion,Grinspoon,rock,22,1,2021-12-30 22:56:04
3766,Sleeping in the Flowers,They Might Be Giants,rock,22,2,2019-08-07 14:00:39
3768,(David Bowie I Love You) Since I Was Six,The Brian Jonestown Massacre,rock,22,1,2021-08-23 11:51:15
3788,True Beauty Is So Painful,Oomph!,rock,22,3,2020-01-14 22:26:38
3797,Stay or Leave,Dave Matthews Band,rock,22,2,2020-03-21 16:27:56
3807,Revelry,Kings of Leon,rock,22,2,2020-12-23 05:21:44
3809,Creepy Crawling,Chumbawamba,rock,22,0,2018-06-09 10:16:46
3819,Dr. Worm,They Might Be Giants,rock,22,3,2021-07-16 03:02:32
3824,Good Vibrations,Psychic TV,rock,22,2,2019-11-11 10:11:54
3828,"Ready, Aim, Misfire",New Years Day,rock,22,3,2019-11-15 17:31:29
3839,Alsbartr (The Oath),Emperor,black metal,22,1,2020-06-16 06:05:26
3849,Groove Supply,The Minus 5,rock,22,3,2018-10-13 21:15:26
3857,Under My Skin,Bitter,rock,22,1,2020-06-21 16:02:51
3860,One Hundred Days,Mark Lanegan,rock,22,2,2019-05-22 05:19:35
3863,Daydreaming,Paramore,rock,22,3,2019-12-27 16:00:26
3892,I Did It,Dave Matthews Band,rock,22,2,2021-09-04 01:36:29
3938,Cindy Tells Me,Brian Eno,rock,22,0,2019-09-17 15:11:02
3951,Don't Sit Down,David Bowie,rock,22,2,2021-07-28 01:36:15
3966,Weekend Love,Golden Earing,rock,22,3,2020-02-19 22:43:45
3985,Bouncing Off the Walls,Sugarcult,rock,22,3,2019-09-22 18:17:32
3988,Life's a Bath,John Frusciante,rock,22,3,2019-12-06 08:09:10
4010,Heartbreaker,The Rasmus,rock,22,3,2021-09-11 13:52:24
4025,Mega Bottle Ride,Joe Strummer and the Mescaleros,rock,22,2,2021-02-24 21:36:42
4049,Feldhall og Kampf,Branikald,black metal,22,2,2019-08-21 23:17:22
4077,Naive (Live @ Abbey Road) (Acoustic),The Kooks,rock,22,0,2021-09-08 23:22:00
4085,Back Together Again,Indigo Girls,rock,22,3,2021-08-28 16:36:24
4126,Too Much Love Will Kill You,Queen,rock,22,3,2020-04-07 20:14:27
4137,Hopeless,Train,rock,22,2,2021-01-08 23:47:44
4149,Talking,The Reds,rock,22,3,2020-01-10 22:13:29
4154,Rockin' Chair,Tom Waits,rock,22,0,2019-08-05 15:17:52
4163,seven demons,Saybia,rock,22,2,2021-01-31 01:16:09
4178,I'm Only Sleeping (rehearsal),The Beatles,rock,22,3,2018-11-10 22:31:58
4182,Stranded,Shawn Colvin,rock,22,0,2018-02-01 00:06:30
4191,With Fire and Iron,Hate Forest,black metal,22,0,2018-10-18 07:31:23
4210,Get on the Natch,Boz Scaggs,rock,22,0,2020-07-06 16:55:14
4217,If You Wear That Velvet Dress,Bono,rock,22,3,2019-09-26 01:01:20
4241,The Saxophone Song,Kate Bush,rock,22,2,2019-02-22 05:02:30
4250,Sometimes,Daniel Lanois,rock,22,2,2020-10-08 03:47:24
4261,Drag Me to the Grave,Black Veil Brides,rock,22,3,2020-12-10 00:48:03
4262,Chains of Solitude,Trelldom,black metal,22,0,2018-01-11 16:41:00
4270,Bad Touch,Bloodhound Gang,rock,22,3,2019-09-06 11:36:31
4287,Why Don't You Come Over,Garbage,rock,22,3,2019-08-01 20:54:02
4332,Historia stworzenia świata,Lao Che,rock,22,2,2021-10-10 00:11:22
4365,Down In The Beast,The Jon Spencer Blues Explosion,rock,22,0,2019-11-07 13:12:29
4385,Blow Wind Blow,Tom Waits,rock,22,2,2020-05-29 05:08:29
4389,Follow Through,Gavin DeGraw,rock,22,2,2019-05-16 22:43:53
4393,No Dark Things,Echo & the Bunnymen,rock,22,0,2020-11-19 23:40:32
4394,I Have to Leave,Warren Zevon,rock,22,0,2021-06-19 17:37:47
4413,Here's to Us,Halestorm,rock,22,3,2018-04-28 09:49:09
4423,Then The Night Comes,Billy Idol,rock,22,3,2018-09-12 21:59:18
4425,O suszeniu,Hey,rock,22,2,2021-09-01 12:37:25
4427,Just Like Anyone,Soul Asylum,rock,22,0,2020-01-05 21:56:22
4445,Look At You,Backyard Babies,rock,22,1,2018-06-09 23:09:23
4475,Neon,John Mayer,rock,22,2,2021-05-20 03:40:26
4481,Perdition,Phase,rock,22,3,2019-04-30 10:37:53
4488,Kick Some Ass,Stroke 9,rock,22,3,2018-03-13 23:56:38
4492,Unforgiven,Beck,rock,22,0,2019-08-10 21:42:29
4507,Por Probar el Vino y el Agua Salada,La Máquina de Hacer Pájaros,rock,22,2,2018-09-28 20:02:22
4546,Song Without a Name,Vast,rock,22,3,2020-02-04 08:11:27
4558,October 8,Midnight Choir,rock,22,0,2019-08-06 04:45:16
4612,Hella Good,No Doubt,rock,22,3,2021-11-30 11:29:20
4636,Tonight in Flames,Cradle of Filth,black metal,22,2,2020-01-09 15:18:42
