,track,artist,genre,valence_tags,arousal_tags,lyrics
19,Song for the New Breed,Bonnie 'Prince' Billy,singer-songwriter,3.6789565217391305,3.277652173913044,Your little feet Your sharp teeth The way the light hits your eyes Your scrappy fur Your fists The light from the Lord that shines inside Inside of me Inside of me Something is growing Something is glowing Someone is showing Sing a song for the new breed Inside of me Your deep growl Your high whine The uneven way that you move Your pure heart Your love The Lord made you to prove something Inside of me Inside of me Something is growing Something is glowing Someone is showing Sing a song for the new breed I could be right Then you'd be right too
22,All About You,McFly,pop,7.099910714285714,4.3655357142857145," It's all about you (it's about you) It's all about you, baby (It's all about) It's all about you (it's about you) It's all about you  Yesterday, you asked me something I thought you knew So I told you with a smile ""It's all about you"" Then you whispered in my ear and you told me too Said, ""You make my life worthwhile, it's all about you""  And I would answer all your wishes If you asked me to But if you deny me one of your kisses Don't know what I'd do So hold me close and say three words, like you used to do Dancing on the kitchen tiles It's all about you Yeah...  And I would answer all your wishes If you asked me to But if you deny me one of your kisses Don't know what I'd do So hold me close and say three words, like you used to do Dancing on the kitchen tiles Yes, you make my life worthwhile So I told you with a smile It's all about you  It's all about you (It's about you) It's all about you, baby (it's all about) It's all about you (It's about you) It's all about you, baby It's all about you (It's about you) It's all about you, baby (It's all about you) It's all about you (It's about you) It's all about you It's all about you"
23,In the Lord's Arms,Ben Harper,rock,4.791666666666667,3.983333333333333,"Like the wings stolen from an angel Like petals gone from a rose Like a dove caught in a storm Tonight he is in the Lord's arms The wind, it blew straight through us And whispered to me in tongues I was told I was warned Tonight he would be in the Lord's arms Tonight he is in the Lord's arms So I'll drink this wine to him With each glass a memory He left me with his crown of thorns Tonight he is in the Lord's arms Tonight he is in the Lord's arms Tonight he is in the Lord's arms"
25,A Vampire's View,The Flower Kings,progressive rock,5.425,5.43,"I am back at the beginning, I have a crust upon my eyes I'm alone in this my blindness, I'm alone but there is still life Not under a tombstone, no worms are lickin' my bones I'm just in a state here day turn to night and it's late I am back at the beginning, I am black down to my heart I am tied down to this rhythm, In a trance 'til death do us part Like one of those people that are nothing but evil A life of regrets is saved in the flower of death All the things that are sad are savеd inside my madness All I touch will die bеfore the summer is gone All the blackest days will always flood my soul Inviting me to rest upon the leaves of autumn Searching for some kindness, lost inside my blindness I turn around, I turn around I am back at the beginning, stripped down to the bone I am blank and I am nothing, I am drained of passion and soul I've traveled the world, All the beautiful girls They have made me a lifelong notorious deciever, believe me! I'll go underground, when the sun beats down I am back at the beginning, in the shadows upon my strike So the world have become silent, I can tell that this ain't no life I'm the man without shadow, I've got a stoneful of pillows There's no man in the mirror, just me and I hate what I see! All the things that are sad are saved inside my madness All I touch will die before the summer is gone All the blackest days will always flood my soul Inviting me to rest upon the leaves of autumn Searching for some kindness, lost inside my blindness I turn around, turn around From the underworld we arise On a string of bloodstained magnolias Relentlessly throwing the dice But there's no way we can get out of here In a time that see no end I'm building this cluster so sinister Of thoughts on love and death In a one man strong disaster In a dark tranquility Our hearts descend Aching from a bittersweet that'll never end A face with hollow eyes, A face with no more smiles The cold face of perdition, A voice silent cries The blind man, the rooster, the ultimate loser"
26,All the Rowboats,Regina Spektor,piano,6.450845070422536,5.267605633802818," All the rowboats in the paintings They keep trying to row away And the captains' worried faces Stay contorted and staring at the waves  They'll keep hanging in their gold frames For forever, forever and a day All the rowboats in oil paintings They keep trying to row away, row away  Hear them whispering French and German Dutch, Italian, and Latin When no one's looking, I touch a sculpture Marble, cold, and soft as satin  But the most special are the most lonely God, I pity the violins In glass coffins they keep coughing They've forgotten, forgotten how to sing, how to sing La da da da da, la da da da da, la  First there's lights out, then there's lock up Masterpieces serving maximum sentences It's their own fault for being timeless There's a price to pay and a consequence All the galleries, the museums Here's your ticket, welcome to the tombs They're just public mausoleums The living dead fill every room  But the most special are the most lonely God, I pity the violins In glass coffins they keep coughing They've forgotten, forgotten how to sing  They will stay there in their gold frames For forever, forever and a day All the rowboats in oil paintings They keep trying to row away, row away   First there's lights out, then there's lock up Masterpieces serving maximum sentences It's their own fault for being timeless There's a price to pay and a consequence All the galleries, the museums They will stay there forever and a day All the rowboats in oil paintings They keep trying to row away, row away All the rowboats in oil paintings They keep trying to row away, row away"
32,Hymn Before Action,Karl Jenkins,classical,5.819999999999999,4.82,"The earth is full of anger The seas are dark with wrath The Nations in their harness Go up against our path: Ere yet we loose the legions -- Ere yet we draw the blade Jehovah of the Thunders Lord God of Battles, aid! High lust and froward bearing Proud heart, rebellious brow -- Deaf ear and soul uncaring We seek Thy mercy now! The sinner that forswore Thee The fool that passed Thee by Our times are known before Thee -- Lord, grant us strength to die!"
36,Unbroken,Missy Higgins,singer-songwriter,5.894329896907217,3.371855670103093,"Red hand print on the white of your cheek Pack your bags quiet while the lion sleeps Watch your Mum put her name to the line Next to the place where your Father signed And inevitably, what you used to be Will succumb to the pull of gravity And you will never No, you will never see with virgin eyes again Cause this is the day that everything changes And your world stops turning Running straight into the brake lights You've come to nothing This is the day that everything changes And your worlds collide You know in time you'll wake to find you're a little unbroken Hold the answer to the light to see your future Two line blue line tragedy He brings the metal to the fire for the first time Tells you it's the last time and it will be Cause inevitably, what you used to be Will be tainted by the hand that curiosity And you will never No, you will never see with virgin eyes again Cause this is the day that everything changes And your world stops turning Running straight into the brake lights You've come to nothing This is the day that everything changes And your worlds collide You know in time you'll wake to find you're a little unbroken So how can I explain the isolated rain that follows you? Wouldn't you agree running always slows you down? So welcome the pain, stop yourself from delaying it Cause the real life will never go away Cause this is the day that everything changes And your world stops turning Running straight into the brake lights You've come to nothing This is the day that everything changes And your worlds collide You know in time you'll wake to find you're a little unbroken"
38,Seaside,Devendra Banhart,folk,7.13,3.04,"The shore worn And born black I love that, I love that Seaside, seaside Seaside, seaside The hunter in heaven Is thunder a companion by My side, my side My side, my side Now seen, unseen Now seen, unseen Now seen, unseen Now seen, unseen The sea is calm The path on high It swoops down to lie By your side, you side Your side, your side Your side, your side"
39,Modern Woman,Billy Joel,rock,7.766666666666667,5.570000000000001,"You see her sitting with her coffee and her paper With her high top sneakers of Italian design With a long cool stare she aggravates the tension Makes up her face while she makes up her mind Now you're in trouble, maybe she's an intellectual What if she figures out you're not very smart Or maybe she's the quiet type who's into heavy metal Boy, you got to get it settled Cause she's breaking your heart  Don't try to put on an act You can't do that to a modern woman And you're an old fashioned man She understands the things you're doin' She's a modern woman She looks sleek and she seems so professional She's got a lot of confidence, it's easy to see You want to make a move But you feel so inferior Cause under that exterior Is someone who's free She's got style and she's got her own money So she's not another honey you can quickly disarm She's got the eyes that make you realize She won't be hypnotized by your usual charm You've got your plan of attack That won't attract the modern woman When you're an old fashioned man She understands the things you're doin' She's a modern woman Time goes by and you're sharing an apartment She says she loves you but she doesn't know why In the morning she leaves you with your coffee and your paper It's a strange situation for an old fashioned guy But times have changed Things are not the same, baby You overcame such a bad attitude Rock and roll just used to be for kicks And nowadays it's politics And after 1986 what else could be new  You got to learn to relax And face the facts of modern woman And you're an old fashioned man She understands the things you're doin' She's a modern woman"
41,Inveigh,The Bronx,rock,2.53,6.2,"When I'm wrong, I don't care! If I'm right I will be programmed and compared! If I crash If I fail I'll be waiting for you deep in hell! Well it's the loneliest place to go; The loneliest place to hide! Look at us now Up in the sky! We went and taught ourselves to fly! Parasites Sell advice! And the weak will never trust what they've become! They're most safely and perfectly them! Kissing 'cause they never fight! They fist and they fuck through the night! Look at them now Up in the sky! They went and taught themselves to die! We won't be paragraphed by silence We won't be hidden by the phone We may appear sidetracked by violence We may appear as barking dogs Nothing is wrong We are impossibly strong! Gather your strength Believe everything you say! Never break down Follow or blindly obey! Inveigh! Look at us now Up in the sky! We taught ourselves! We taught ourselves! We taught ourselves! We taught ourselves to fly!"
42,That's Him Over There,Nina Simone,soul,4.1242857142857146,3.4371428571428573,"Marilyn Bergman, Lew Spence I see your face in this room full of faces I'm trying hard not to stare Strange to see you again, here of all places That's him over there My baby looks the same as he did when I met him I'd know that laugh anywhere It was so foolish of me to think I'd forget him That's him over there I wish I could be the girl at his side The one who has taken my place Can everyone see what I'm trying to hide Isn't it written all over my face? I guess that you kow what extremes I have gone to To prove that I didn't care You were so anxious to meet the dream that I've hung onto Well, that's him, that's my Jim, over there"
43,Watford Gap,Roy Harper,comic,7.5,4.3,"Just about a mile from where the motorways all merge You can view the national edifice, a monumental splurge It's the lonesome traveler's rotgut or bacteria's revenge The great plastic spectacular descendant of Stonehenge And the people come to worship on their death-defying wheels Fancy-dressed as shovels for their death-defying meals It's the Watford Gap, Watford Gap A plate of grease and a load of crap At one a.m. on Sunday you can hear the boys declare That the other team were fairies and the ref was Fred Astaire It's Chopper Ronnie's fan club on their weekly pilgrimage To stick the hero's boot in all the way from Stamford Bridge And without a solid concrete-burger no night is complete Plastic cups of used bathwater wash away defeat It's the Watford Gap, Watford Gap A plate of grease and a load of crap The traffic jam is rattling like a five-mile cornered snake With fuming pieces falling off and steaming in its wake The city's like a goolie in a groupie's stagnant womb Spaghetti Junction's target in the vinegar strokes of doom The countryside is ravaged like a syphilitic whore Yodeling up the canyon is the dirty old Blue Boar It's the Watford Gap, Watford Gap A plate of grease and a load of crap"
44,Demons Sing Love Songs,Unwound,noise rock,6.317697368421054,4.447039473684211," When I left my island, I was wrong Met a phantom, memorized a song Nothing happens now that I belong  Love's a demon, love's a demon Love's a demon, love Love's a demon, love's a demon Love's a demon, love  Sometimes I think I'm stranded in hotels Hanging from the tallest tree in town  Love's a demon, love's a demon Love's a demon, love Love's a demon, love's a demon Love's a demon, love  I'm the monster standing by your heart A life-size figure ashamed to be alive  Love's a demon, love's a demon Love's a demon, love Love's a demon, love's a demon Love's a demon, love"
45,Somethin' Special,Colbie Caillat,pop,8.063333333333333,5.953333333333333," I found a way to be everything I've dreamed of And I know it's in me that I will become who I wanna be  And I finally found it And I'm taking the long way out 'Cause it's gonna be (It's gonna be) Somethin' special to me Somethin' special to me, yeah, yeah  Days go by (Days go by) And I grow stronger (I still try) It takes time, but I'll never let go (Never let go) Days go by (Days go by) And I'll try harder (I still try) To make it mine ('Cause I know) It's somethin' special to me Somethin' special to me Somethin' special to me, yeah  I've found (I've found) so many things I've dreamed of (Dreamed of, dreamed of) And I know it's in me that I will become who I wanna be And I finally found it And I'm taking the long way out 'Cause it's gonna be (it's gonna be) Somethin' special to me Somethin' special to me, yeah, yeah  Days go by (Days go by) And I grow stronger (I still try) It takes time, but I'll never let go (Never let go) Days go by (Days go by) And I'll try harder (I still try) To make it mine ('Cause I know) It's somethin' special to me  More than I hoped for More than I dreamed of This is how it should be More than I hoped for More than I dreamed of This is how it should be  Days go by and I'll grow stronger It takes time, but I'll never let go Days go by (Days go by) And I'll try harder (I still try) To make it mine (Never let go) It's somethin' special to me It's somethin' special to me (Days go by) It's somethin' special to me (I still try) It's somethin' special to me, yeah, yeah (Never let go) Days go by (Days go by) It's somethin' special to me It's somethin' special to me (I still try) It's somethin' special to me, yeah, yeah  (Never let go) Days go by (Days go by) (I still try) (Never let go) It's somethin' special to me"
46,Take a Bow,Muse,alternative rock,6.166756756756757,4.916216216216216," Corrupt, you corrupt And bring corruption to all that you touch Hold, you'll behold And beholden for all that you've done And spell, cast a spell And cast a spell on the country you run And risk, you will risk You will risk all their lives and their souls  And burn, you will burn You will burn in Hell, yeah, you'll burn in Hell You'll burn in Hell, yeah, you'll burn in Hell For your sins  Ooh, our freedom is consuming itself What we've become Is contrary to what we want Take a bow  Death, you bring death And destruction to all that you touch Pay, you must pay You must pay for your crimes against the earth And Hex, feed the Hex Feed the Hex on the country you love And beg, you will beg You will beg for their lives and their souls  And burn, you will burn You will burn in Hell, yeah, you'll burn in Hell You'll burn in Hell, yeah, you'll burn in Hell For your sins"
51,Bodyguard,Dawn Landes,folk,7.07,3.413333333333333,"I had a dream that we were robbed They took the moldings off the walls Erased our signatures from things I heard them singing Where's my bodyguard, bodyguard, bodyguard, bodyguard Where's my bodyguard, bodyguard, bodyguard, bodyguard Be my bodyguard, bodyguard, bodyguard, bodyguard And guard me They stole the subjects from your paintings But left the canvas on the frame They went off with years of clothing Stole your smell, stole your stain Just like rain Washed clean Of your name And all bodyguard, bodyguard, bodyguard, bodyguard Let down your bodyguard, bodyguard, bodyguard, bodyguard Where's my bodyguard, bodyguard, bodyguard, bodyguard To guard me Cause I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man I saw a man Where's my bodyguard Please guard me (guard me) Please guard me (guard me) Please guard me (guard me) Take, take, take, take my arms Got nothing to hold Break, break, break my legs There's nothing to stand on Take, take, take my bones There's nothing to fill me in Just singing Where you been Bodyguard, bodyguard, bodyguard, bodyguard Where's my bodyguard, bodyguard, bodyguard, bodyguard Be my bodyguard, bodyguard, bodyguard, bodyguard And guard me Guard me"
54,Phantom Of The Night,Kayak,rock,2.86,2.045,"A ship is setting course to sea Shes carried by the wind A voyage unto mystery Once harbour lights have dimmed A valiant toy of the waves and the tide Sails in the night The sea has many tales to tell Of all the sunken ships But trident hearts conceal them well Where man will have no grip Laughing at legends the crew shows no fear Though fate is near The waves have taken what was theirs Ships went down, but no one cares So many sailors lay buried in the deep Theyll no longer weep Have mercy on me Dont let the sea Swallow my life Swallow my life They see the angry rollers that Are reaching up so high Her crew has gone, her sails are red The phantomship still flies On violent waves that are looming ahead Omen of death The harsh and unbelieving crew Suddenly realized all was true Just like the men who were buried in the deep They started to weep Have mercy on me Dont let the sea Swallow my life Swallow my life Swallow my life Million anonymous were drowned Taken down Into the realm of Neptune See how she weathers every gale In full sail Doomed were the ships that came in sight Of the Phantom of the Night Of the Phantom of the Night Of the Phantom of the Night"
55,Radiance,Anathema,doom metal,4.26253164556962,4.47746835443038,"Inside... The dark is fading away I don't want to feel alone anymore Inside... The light of dawn is here once more The light... Darkness is slipping away Of dawn... I don't want to be alone Is here... Won't you stay? Not a word passed your lips Just a golden kiss As I whispered silently ""Help me through this"""
57,Abscission,Deathspell Omega,black metal,5.525000000000001,5.09,"The depths of abjection, a throne of manure But even during the ecstasies of beatification It is by no means possible to separate them The den of serpents, the knot of vipers corruption-bred And the blazing spirit of the mystic heaven above Angel browed with brass Wreathed by a halo, sublime and infinite Tunneled by vermin Feverish miasmas and a silent canticle Implemini Spiritu Sancto The scorching heat of the furnace inside galvanizes A grapevine whose roots sink deep, far into the arteries In contemplation the Lord of harvests long gone Shall murmur obscene wonders to those who ate the grape Desperately feeding the empty void Growing on innocent blood, the stronger and the greater In ruthless rigour, in funeral glee Implemini Spiritu Sancto The foam of nausea slowly rising to the teeth Yes! Truly adorned with the grim regalia of perdition I shall hold high a bowl of gems of unseen radiance Enveloping spirit and will in seraphic rapture O deformity, hear the weeping prayers Arise from rot, be my child! Be my promise! The nebulae in the superior sky howled like a starving hound Aboyeurs de dieu! Aboyeurs de Dieu! Implemini Spiritu Sancto"
63,The Stars,Algernon Cadwallader,emo,8.0,5.76,Moving Steady now Steady now Steady now About one Mile per hour Mile per hour Mile per hour Upwards Slow and steady Slow and steady Slow And I've never been more Touched by Girls hands Pretty little fingers They will become the stars The world is A rolling stone Simultaniously gathering and Hunting They will become the stars THESE MAGIC MOMENTS
64,The Fog,Kate Bush,alternative,5.2817567567567565,3.425675675675676," ""You see, I'm all grown up now."" He said: ""Just put your feet down child 'Cause you're all grown up now.""  Just like a photograph I pick you up Just like a station on the radio I pick you up Just like a face in the crowd I pick you up Just like a feeling that you're sending out I pick it up  But I can't let you go If I let you go You slip into the fog   This love is big enough for the both of us This love of yours is big enough to be frightened of It's deep and dark, like the water was The day I learned to swim He said: ""Just put your feet down, child"" ""Just put your feet down child The water is only waist high I'll let go of you gently Then you can swim to me.""  Is this love big enough to watch over me? Big enough to let go of me Without hurting me Like the day I learned to swim?  ""'Cause you're all grown up now"" Just put your feet down, child The water is only waist high I'll let go of you gently Then you can swim to me"
65,Gotta Have You,The Weepies,folk,6.870476190476193,3.649312169312169,"Gray, quiet and tired and mean Picking at a worried seam I try to make you mad at me over the phone Red eyes and fires and signs I'm taken by a nursery rhyme I want to make a ray of sunshine and never leave home No amount of coffee, no amount of crying No amount of whiskey, no amount of wine No, no, no, no, no, nothing else will do I've gotta have you, I've gotta have you The road gets cold, there's no spring in the meadow this year I'm the new chicken clucking open hearts and ears Oh, such a prima donna, sorry for myself But green, it is also summer And I won't be warm till I'm lying in your arms No amount of coffee, no amount of crying No amount of whiskey, no amount of wine No, no, no, no, no, nothing else will do I've gotta have you, I've gotta have you I see it all through a telescope: guitar, suitcase, and a warm coat Lying in the back of the blue boat, humming a tune... No amount of coffee, no amount of crying No amount of whiskey, no wine No, no, no, no, no, nothing else will do I've gotta have you, I've gotta have... No amount of coffee, no amount of crying No amount of whiskey, no amount of wine No, no, no, no, no, nothing else will do I've gotta have you, I've gotta have you I've gotta have you, I've gotta have you I've gotta have you"
66,Herbal Movement,The Gathering,progressive rock,4.263387978142076,2.870874316939892,"The fabric softener of the mind Makes... makes everything easy And we slide down Slide over, you Makes... makes everything lazy And we dive down Slide over, you You know and everything's lazy And we slide... And everything is lazy Slide over you"
69,Bluebird of Happiness,Mojave 3,dream pop,6.052857142857143,3.6457142857142855,"Gotta find a way to get home strong Gotta find a way back home Gotta find the light to guide me along Gotta find a a way back home Running for your life won't get you so far Running for your life so far Gotta find the road to bring me home slow Gotta find a way back home Gotta find a road that brings me back slow Gotta find a way back home The loving in your eye that holds you alive Gotta find a way back home Gotta find a way to get home strong Gotta find a way back home Gotta find a road that brings me back slow Gotta find a way back home Gotta find a way to get home strong Gotta find a way back home Saw you turning Big eyes burning on your way Nothing out there The time to tell you what you own Never wanted to feel this pain Never wanted to feel so sad Never wanted to feel this pain Today, today Never wanted to feel this pain Never wanted to feel so sad Never wanted to feel this pain Today, today Never wanted to feel this pain Never wanted to feel this pain Gotta find a way to get home strong Gotta find a way back home Gotta find a light to guide me along Gotta find a way back home Never wanted to feel this pain Never wanted to feel this pain Gotta find a road that brings me back slow Gotta find a way back home The loving in your eye that holds you alive Gotta find a way back home Gotta find a way to get home strong Gotta find a way back home Gotta find a road that brings me back slow Gotta find a way back home Gotta find a way to get home strong Gotta find a way back home Gotta find a way back home Gotta find a way back home"
